"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001800005805",531310.28,181547.66,51.517598,-0.1088848,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",2730330.22141865,777.332763671875,0,0,0,2,"Building geometry prediction"
"osgb1000001800009377",531838.28,181406.369999999,51.5162055,-0.1013323,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",61113.8641370956,38.7504386901855,0,0,0,2,"Building geometry prediction"
"osgb1000001800009378",531822.33,181410.5,51.5162463,-0.1015605,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",60155.4714164859,38.4852485656738,0,0,0,2,"Building geometry prediction"
"osgb1000001800009379",531829,181405,51.5161953,-0.1014665,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",29775.6692957858,30.0790424346924,0,0,0,1,"Building geometry prediction"
"osgb1000001800009381",531865,181390,51.5160521,-0.1009536,"E00000024","E01032739","E02000001","E05009304","Farringdon Within","CITY OF LONDON",43055.3813528611,33.753589630127,0,0,0,1,"Building geometry prediction"
"osgb1000001800009387",531892,181384,51.5159919,-0.1005669,"E00000024","E01032739","E02000001","E05009304","Farringdon Within","CITY OF LONDON",4328084.76718737,1219.43762207031,0,0,0,1,"Building geometry prediction"
"osgb1000001800009493",531975.39,181508.51,51.5170914,-0.0993192,"E00190440","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",4308914.61470651,1214.13317871094,0,0,0,4,"Building geometry prediction"
"osgb1000001800014502",531314.37,181452.539999999,51.5167423,-0.1088613,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",614918.501904713,191.990295410156,0,0,0,2,"Building geometry prediction"
"osgb1000001800235004",532686,181715,51.5187807,-0.089006,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",381912.275660559,127.516586303711,0,0,0,1,"Building geometry prediction"
"osgb1000001800235031",532860.21,181480.789999999,51.516635,-0.0865849,"E00166755","E01032739","E02000001","E05009295","Broad Street","CITY OF LONDON",3566312.89563607,1008.65240478516,0,5,0,15,"Building geometry prediction"
"osgb1000001800235055",532673,181796,51.5195116,-0.0891628,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",159502.570133276,65.974967956543,0,0,0,1,"Building geometry prediction"
"osgb1000001800235218",532612,181760,51.5192024,-0.090055,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",1072783.29207583,318.683227539062,0,0,0,2,"Building geometry prediction"
"osgb1000001800235281",532625,181742,51.5190376,-0.0898745,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",608878.224601606,190.318923950195,0,0,0,3,"Building geometry prediction"
"osgb1000001800235311",533044,181502,51.5167823,-0.0839297,"E00166755","E01032739","E02000001","E05009295","Broad Street","CITY OF LONDON",659586.342752362,204.350051879883,0,1,0,2,"Building geometry prediction"
"osgb1000001800235369",532668,181778,51.519351,-0.0892416,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",297758.598673335,104.230941772461,0,0,0,1,"Building geometry prediction"
"osgb1000001800235397",532694,181760,51.5191832,-0.0888739,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",8079.93409997781,24.0757484436035,0,0,0,1,"Building geometry prediction"
"osgb1000001800235423",532641,181777,51.5193484,-0.0896309,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",3658027.58285127,1034.03015136719,0,3,0,5,"Building geometry prediction"
"osgb1000001800235594",532640,181738,51.5189981,-0.08966,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",159970.759585444,66.1045150756836,0,0,0,1,"Building geometry prediction"
"osgb1000001800235596",532693,181744,51.5190396,-0.0888943,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",8011.25214924276,24.0567436218262,0,0,0,1,"Building geometry prediction"
"osgb1000001800241189",532064,181580,51.5177132,-0.0980161,"E00190405","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",48018.3233663008,35.1268539428711,0,0,0,1,"Building geometry prediction"
"osgb1000001800241312",532118,181647,51.5183027,-0.0972132,"E00166756","E01000001","E02000001","E05009304","Farringdon Within","CITY OF LONDON",629640.210009742,196.063842773438,0,81,80,1,"Building geometry prediction"
"osgb1000001800468851",532918,181218,51.5142598,-0.0858516,"E00166755","E01032739","E02000001","E05009301","Cornhill","CITY OF LONDON",2515217.76668986,717.810363769531,0,2,0,10,"Building geometry prediction"
"osgb1000001800468924",533484,180987,51.5120505,-0.077787,"E00190458","E01032739","E02000001","E05009289","Aldgate","CITY OF LONDON",225510.206518959,84.2395401000977,0,0,0,1,"Building geometry prediction"
